2025/12/06 10:18:42 [notice] 1#1: using the "epoll" event method
2025/12/06 10:18:42 [notice] 1#1: nginx/1.29.3
2025/12/06 10:18:42 [notice] 1#1: built by gcc 14.2.0 (Debian 14.2.0-19) 
2025/12/06 10:18:42 [notice] 1#1: OS: Linux 6.14.0-36-generic
2025/12/06 10:18:42 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1024:524288
2025/12/06 10:18:42 [notice] 1#1: start worker processes
2025/12/06 10:18:42 [notice] 1#1: start worker process 28
2025/12/06 10:18:42 [notice] 1#1: start worker process 29
2025/12/06 10:18:42 [notice] 1#1: start worker process 30
2025/12/06 10:18:42 [notice] 1#1: start worker process 31
2025/12/06 10:18:42 [notice] 1#1: start worker process 32
2025/12/06 10:18:42 [notice] 1#1: start worker process 33
2025/12/06 10:18:42 [notice] 1#1: start worker process 34
2025/12/06 10:18:42 [notice] 1#1: start worker process 35
2025/12/06 10:18:42 [notice] 1#1: start worker process 36
2025/12/06 10:18:42 [notice] 1#1: start worker process 37
2025/12/06 10:18:42 [notice] 1#1: start worker process 38
2025/12/06 10:18:42 [notice] 1#1: start worker process 39
2025/12/06 10:18:42 [notice] 1#1: start worker process 40
2025/12/06 10:18:42 [notice] 1#1: start worker process 41
2025/12/06 10:18:42 [notice] 1#1: start worker process 42
2025/12/06 10:18:42 [notice] 1#1: start worker process 43
